Year,PRNAME_EN,PRUID,use_12months,daily_12months
2023,British Columbia,59,31,7
2022,British Columbia,59,31,8
2021,British Columbia,59,30,9
2020,British Columbia,59,29,8
2019,British Columbia,59,29,7
2018,British Columbia,59,26,6
2023,Alberta,48,29,8
2022,Alberta,48,30,8
2021,Alberta,48,29,7
2020,Alberta,48,28,7
2019,Alberta,48,26,7
2018,Alberta,48,23,6
2023,Saskatchewan,47,24,8
2022,Saskatchewan,47,27,7
2021,Saskatchewan,47,26,7
2020,Saskatchewan,47,27,7
2019,Saskatchewan,47,25,5
2018,Saskatchewan,47,19,6
2023,Manitoba,46,26,7
2022,Manitoba,46,32,8
2021,Manitoba,46,25,6
2020,Manitoba,46,28,8
2019,Manitoba,46,21,5
2018,Manitoba,46,22,5
2023,Ontario,35,27,6
2022,Ontario,35,29,7
2021,Ontario,35,27,7
2020,Ontario,35,29,8
2019,Ontario,35,25,6
2018,Ontario,35,24,6
2023,New Brunswick,13,30,6
2022,New Brunswick,13,29,8
2021,New Brunswick,13,27,11
2020,New Brunswick,13,28,7
2019,New Brunswick,13,30,6
2018,New Brunswick,13,17,4
2023,Nova Scotia,12,34,7
2022,Nova Scotia,12,34,12
2021,Nova Scotia,12,31,8
2020,Nova Scotia,12,30,9
2019,Nova Scotia,12,31,8
2018,Nova Scotia,12,28,7
2023,Newfoundland and Labrador,10,31,11
2022,Newfoundland and Labrador,10,28,9
2021,Newfoundland and Labrador,10,31,10
2020,Newfoundland and Labrador,10,29,8
2019,Newfoundland and Labrador,10,28,8
2018,Newfoundland and Labrador,10,24,7
2023,Canada,1,26,6
2022,Canada,1,27,7
2021,Canada,1,25,7
2020,Canada,1,27,7
2019,Canada,1,25,6
2018,Canada,1,22,5
