Geography,year,cannabis_use_rate,cannabis_daily_rate,cannabis_occasional_rate,cannabis_use_rate_growth,cannabis_daily_rate_growth
Alberta,2014,,,,,
Alberta,2015,0.23,0.06,0.17,,
Alberta,2016,0.23,0.06,0.17,0.0,0.0
Alberta,2017,0.23,0.06,0.17,0.0,0.0
Alberta,2018,0.23,0.06,0.17,0.0,0.0
Alberta,2019,0.26,0.07,0.19,0.1304,0.1667
Alberta,2020,0.28,0.07,0.21,0.0769,0.0
Alberta,2021,0.29,0.07,0.22,0.0357,0.0
Alberta,2022,0.3,0.08,0.22,0.0345,0.1429
Alberta,2023,0.29,0.08,0.21,-0.0333,0.0
Alberta,2024,,,,,
British_Columbia,2014,,,,,
British_Columbia,2015,0.26,0.06,0.2,,
British_Columbia,2016,0.26,0.06,0.2,0.0,0.0
British_Columbia,2017,0.26,0.06,0.2,0.0,0.0
British_Columbia,2018,0.26,0.06,0.2,0.0,0.0
British_Columbia,2019,0.29,0.07,0.22,0.1154,0.1667
British_Columbia,2020,0.29,0.08,0.21,0.0,0.1429
British_Columbia,2021,0.3,0.09,0.21,0.0345,0.125
British_Columbia,2022,0.31,0.08,0.23,0.0333,-0.1111
British_Columbia,2023,0.31,0.07,0.24,0.0,-0.125
British_Columbia,2024,,,,,
Canada,2014,,,,,
Canada,2015,0.22,0.05,0.17,,
Canada,2016,0.22,0.05,0.17,0.0,0.0
Canada,2017,0.22,0.05,0.17,0.0,0.0
Canada,2018,0.22,0.05,0.17,0.0,0.0
Canada,2019,0.25,0.06,0.19,0.1364,0.2
Canada,2020,0.27,0.07,0.2,0.08,0.1667
Canada,2021,0.25,0.07,0.18,-0.0741,0.0
Canada,2022,0.27,0.07,0.2,0.08,0.0
Canada,2023,0.26,0.06,0.2,-0.037,-0.1429
Canada,2024,,,,,
Manitoba,2014,,,,,
Manitoba,2015,0.22,0.05,0.17,,
Manitoba,2016,0.22,0.05,0.17,0.0,0.0
Manitoba,2017,0.22,0.05,0.17,0.0,0.0
Manitoba,2018,0.22,0.05,0.17,0.0,0.0
Manitoba,2019,0.21,0.05,0.16,-0.0455,0.0
Manitoba,2020,0.28,0.08,0.2,0.3333,0.6
Manitoba,2021,0.25,0.06,0.19,-0.1071,-0.25
Manitoba,2022,0.32,0.08,0.24,0.28,0.3333
Manitoba,2023,0.26,0.07,0.19,-0.1875,-0.125
Manitoba,2024,,,,,
New_Brunswick,2014,,,,,
New_Brunswick,2015,0.17,0.04,0.13,,
New_Brunswick,2016,0.17,0.04,0.13,0.0,0.0
New_Brunswick,2017,0.17,0.04,0.13,0.0,0.0
New_Brunswick,2018,0.17,0.04,0.13,0.0,0.0
New_Brunswick,2019,0.3,0.06,0.24,0.7647,0.5
New_Brunswick,2020,0.28,0.07,0.21,-0.0667,0.1667
New_Brunswick,2021,0.27,0.11,0.16,-0.0357,0.5714
New_Brunswick,2022,0.29,0.08,0.21,0.0741,-0.2727
New_Brunswick,2023,0.3,0.06,0.24,0.0345,-0.25
New_Brunswick,2024,,,,,
Nova_Scotia,2014,,,,,
Nova_Scotia,2015,0.28,0.07,0.21,,
Nova_Scotia,2016,0.28,0.07,0.21,0.0,0.0
Nova_Scotia,2017,0.28,0.07,0.21,0.0,0.0
Nova_Scotia,2018,0.28,0.07,0.21,0.0,0.0
Nova_Scotia,2019,0.31,0.08,0.23,0.1071,0.1429
Nova_Scotia,2020,0.3,0.09,0.21,-0.0323,0.125
Nova_Scotia,2021,0.31,0.08,0.23,0.0333,-0.1111
Nova_Scotia,2022,0.34,0.12,0.22,0.0968,0.5
Nova_Scotia,2023,0.34,0.07,0.27,0.0,-0.4167
Nova_Scotia,2024,,,,,
Ontario,2014,,,,,
Ontario,2015,0.24,0.06,0.18,,
Ontario,2016,0.24,0.06,0.18,0.0,0.0
Ontario,2017,0.24,0.06,0.18,0.0,0.0
Ontario,2018,0.24,0.06,0.18,0.0,0.0
Ontario,2019,0.25,0.06,0.19,0.0417,0.0
Ontario,2020,0.29,0.08,0.21,0.16,0.3333
Ontario,2021,0.27,0.07,0.2,-0.069,-0.125
Ontario,2022,0.29,0.07,0.22,0.0741,0.0
Ontario,2023,0.27,0.06,0.21,-0.069,-0.1429
Ontario,2024,,,,,
